"ForestTypeGroup","AgeGroup","GamCarbon"
"Exotic softwoods",160,181.784121536663
"Exotic softwoods",170,191.945550604168
"Exotic softwoods",180,202.106979671674
"Exotic softwoods",190,212.26840873918
"Exotic softwoods",200,222.429837806686
"Fir / spruce / mountain hemlock",0,48.8130968988498
"Fir / spruce / mountain hemlock",10,53.1010276072185
"Fir / spruce / mountain hemlock",20,58.2321615368439
"Fir / spruce / mountain hemlock",30,64.9128993533521
"Fir / spruce / mountain hemlock",40,73.3131719165463
"Fir / spruce / mountain hemlock",50,82.9098262513581
"Fir / spruce / mountain hemlock",60,92.6754202625074
"Fir / spruce / mountain hemlock",70,101.481787347671
"Fir / spruce / mountain hemlock",80,108.523182087605
"Fir / spruce / mountain hemlock",90,113.57114335841
"Fir / spruce / mountain hemlock",100,116.96639495548
"Fir / spruce / mountain hemlock",110,119.394026499026
"Fir / spruce / mountain hemlock",120,121.598761530922
"Fir / spruce / mountain hemlock",130,124.20711514977
"Fir / spruce / mountain hemlock",140,127.723686259772
"Fir / spruce / mountain hemlock",150,132.627615647506
"Fir / spruce / mountain hemlock",160,139.415450316541
"Fir / spruce / mountain hemlock",170,148.482612392904
"Fir / spruce / mountain hemlock",180,159.881740642363
"Fir / spruce / mountain hemlock",190,173.140874579116
"Fir / spruce / mountain hemlock",200,187.364185052238
"Hemlock / Sitka spruce",0,37.0174851660987
"Hemlock / Sitka spruce",10,74.7435806259318
"Hemlock / Sitka spruce",20,112.218648115259
"Hemlock / Sitka spruce",30,147.950442970948
"Hemlock / Sitka spruce",40,179.068947962084
"Hemlock / Sitka spruce",50,202.53887455073
"Hemlock / Sitka spruce",60,216.913008762312
"Hemlock / Sitka spruce",70,223.321920895154
"Hemlock / Sitka spruce",80,224.921183964817
"Hemlock / Sitka spruce",90,225.181639257872
"Hemlock / Sitka spruce",100,226.267911125889
"Hemlock / Sitka spruce",110,228.613095693942
"Hemlock / Sitka spruce",120,231.802063863932
"Hemlock / Sitka spruce",130,235.860175405444
"Hemlock / Sitka spruce",140,241.82919651666
"Hemlock / Sitka spruce",150,251.219398215114
"Hemlock / Sitka spruce",160,264.907608449449
"Hemlock / Sitka spruce",170,282.468801626454
"Hemlock / Sitka spruce",180,302.476593562543
"Hemlock / Sitka spruce",190,323.441332497957
"Hemlock / Sitka spruce",200,344.554313066226
"Loblolly / shortleaf pine",0,43.9020850457199
"Loblolly / shortleaf pine",10,56.9763524750953
"Loblolly / shortleaf pine",20,69.2567331462361
"Loblolly / shortleaf pine",30,79.9037871923056
"Loblolly / shortleaf pine",40,88.3085202700063
"Loblolly / shortleaf pine",50,94.25013606453
"Loblolly / shortleaf pine",60,97.8005214831229
"Loblolly / shortleaf pine",70,99.0921156562721
"Loblolly / shortleaf pine",80,98.1886658487777
"Loblolly / shortleaf pine",90,95.2148532213673
"Loblolly / shortleaf pine",100,90.6151262525455
"Loblolly / shortleaf pine",110,85.2126101447064
"Loblolly / shortleaf pine",120,79.8917082977436
"Loblolly / shortleaf pine",130,75.1263398126994
"Loblolly / shortleaf pine",140,70.7978086788311
"Loblolly / shortleaf pine",150,66.5139084475343
"Loblolly / shortleaf pine",160,62.0513314109704
"Loblolly / shortleaf pine",170,57.3280404469224
"Loblolly / shortleaf pine",180,52.5470158678895
"Loblolly / shortleaf pine",190,47.7659912888567
"Loblolly / shortleaf pine",200,42.9849667098238
"Lodgepole pine",0,38.6917430759631
"Lodgepole pine",10,43.0545993914085
"Lodgepole pine",20,47.5175574411501
"Lodgepole pine",30,52.1733823929265
"Lodgepole pine",40,57.0611551884665
"Lodgepole pine",50,62.1404192714286
"Lodgepole pine",60,67.3016705638562
"Lodgepole pine",70,72.4027436055403
"Lodgepole pine",80,77.3125861809733
"Lodgepole pine",90,81.9425954330284
"Lodgepole pine",100,86.253406774373
"Lodgepole pine",110,90.2388464255675
"Lodgepole pine",120,93.9012032865134
"Lodgepole pine",130,97.2354390798404
"Lodgepole pine",140,100.232116513837
"Lodgepole pine",150,102.894885738785
"Lodgepole pine",160,105.257877248039
"Lodgepole pine",170,107.388516130362
"Lodgepole pine",180,109.371707325465
"Lodgepole pine",190,111.284349215024
"Lodgepole pine",200,113.175548047141
"Longleaf / slash pine",0,37.1663127023573
"Longleaf / slash pine",10,47.2430536602952
"Longleaf / slash pine",20,56.841406614534
"Longleaf / slash pine",30,65.493659558475
"Longleaf / slash pine",40,72.9471279277102
"Longleaf / slash pine",50,79.1585813153004
"Longleaf / slash pine",60,84.0474103030254
"Longleaf / slash pine",70,87.4619934157719
"Longleaf / slash pine",80,89.4419196858419
"Longleaf / slash pine",90,90.2290246089769
"Longleaf / slash pine",100,89.9275855245349
"Longleaf / slash pine",110,88.5105738539579
"Longleaf / slash pine",120,86.309009186635
"Longleaf / slash pine",130,83.9609850430914
"Longleaf / slash pine",140,81.6129608995479
"Longleaf / slash pine",150,79.2649367560044
"Longleaf / slash pine",160,76.9169126124608
"Longleaf / slash pine",170,74.5688884689173
"Longleaf / slash pine",180,72.2208643253737
"Longleaf / slash pine",190,69.8728401818302
"Longleaf / slash pine",200,67.5248160382866
"Maple / beech / birch",0,24.5490199120003
"Maple / beech / birch",10,33.9643125615076
"Maple / beech / birch",20,43.6609327336205
"Maple / beech / birch",30,53.7934337333876
"Maple / beech / birch",40,64.2515405956902
"Maple / beech / birch",50,74.6976377447988
"Maple / beech / birch",60,84.7232466586906
"Maple / beech / birch",70,93.9749491169582
"Maple / beech / birch",80,102.183744772631
"Maple / beech / birch",90,109.151773410038
"Maple / beech / birch",100,114.784040051635
"Maple / beech / birch",110,119.173233889989
"Maple / beech / birch",120,122.647546593966
"Maple / beech / birch",130,125.690074136357
"Maple / beech / birch",140,128.747387655929
"Maple / beech / birch",150,132.057842781747
"Maple / beech / birch",160,135.628531038967
"Maple / beech / birch",170,139.366965797718
"Maple / beech / birch",180,143.220450485978
"Maple / beech / birch",190,147.150635127245
"Maple / beech / birch",200,151.119169745014
"Oak / gum / cypress",0,14.6977251501108
"Oak / gum / cypress",10,32.7185992409897
"Oak / gum / cypress",20,46.6943035378612
"Oak / gum / cypress",30,56.9652427537124
"Oak / gum / cypress",40,68.2524810255338
"Oak / gum / cypress",50,83.2730011119124
"Oak / gum / cypress",60,98.4352870561833
"Oak / gum / cypress",70,108.227457813521
"Oak / gum / cypress",80,113.140044725174
"Oak / gum / cypress",90,120.166102694199
"Oak / gum / cypress",100,133.532822024013
"Oak / gum / cypress",110,146.591503626429
"Oak / gum / cypress",120,146.74788814421
"Oak / gum / cypress",130,130.744710618868
"Oak / gum / cypress",140,113.597497036142
"Oak / gum / cypress",150,118.527038237448
"Oak / gum / cypress",160,155.090353080344
"Oak / gum / cypress",170,210.001527049026
"Oak / gum / cypress",180,267.970677538672
"Oak / gum / cypress",190,325.93982802832
"Oak / gum / cypress",200,383.908978517967
"Oak / hickory",0,18.6624521248933
"Oak / hickory",10,28.9765407121141
"Oak / hickory",20,39.1444783571448
"Oak / hickory",30,49.1466102771604
"Oak / hickory",40,59.1573524012533
"Oak / hickory",50,69.3659598525017
"Oak / hickory",60,79.6654471408613
"Oak / hickory",70,89.4958018564533
"Oak / hickory",80,98.0055721998511
"Oak / hickory",90,104.42409948944
"Oak / hickory",100,108.368232769615
"Oak / hickory",110,109.894965319427
"Oak / hickory",120,109.365166810332
"Oak / hickory",130,107.353855706074
"Oak / hickory",140,104.75432769161
"Oak / hickory",150,102.949280865465
"Oak / hickory",160,103.729863968887
"Oak / hickory",170,108.75789726145
"Oak / hickory",180,118.751276914562
"Oak / hickory",190,132.935068933393
"Oak / hickory",200,149.330325259047
"Oak / pine",0,26.0731076103608
"Oak / pine",10,37.4255929763221
"Oak / pine",20,48.5202628276049
"Oak / pine",30,59.0307428579638
"Oak / pine",40,68.6612009479316
"Oak / pine",50,77.2282269446186
"Oak / pine",60,84.5843757770415
"Oak / pine",70,90.504143937672
"Oak / pine",80,94.7655935026916
"Oak / pine",90,97.3723425790625
"Oak / pine",100,98.5792362327605
"Oak / pine",110,98.623252084115
"Oak / pine",120,97.5356110140015
"Oak / pine",130,95.363663772278
"Oak / pine",140,92.5089340697997
"Oak / pine",150,89.5318723642892
"Oak / pine",160,86.5548106587786
"Oak / pine",170,83.577748953268
"Oak / pine",180,80.6006872477574
"Oak / pine",190,77.6236255422468
