ForestTypeGroup,albedoAgeGroup,rfAlbedo,rfSigma,cumTDEE,cumTDEE_ub,cumTDEE_lb
Alder / maple,0,3.67171327162365,1.80630201744949,11.1691903925942,16.663881738822,5.67449904636636
Alder / maple,10,3.06756648345733,1.16715027461539,12.9265459809128,18.2455993117456,7.60749265008
Alder / maple,20,3.21904713807908,0.561050927981721,14.8551074939254,18.7176903642289,10.9925246236219
Alder / maple,30,4.26578079670856,0.746623823638279,19.3329742000406,23.5383149286281,15.127633471453
Alder / maple,40,5.42840304746157,0.788563863394881,24.9485424059698,29.4617309233538,20.4353538885859
Alder / maple,50,2.45711221672657,0.758594829298493,18.5447795430386,23.1711652959883,13.9183937900889
Alder / maple,60,3.78172628031772,0.869751141936163,21.5438331788162,26.650480152109,16.4371862055233
Alder / maple,70,7.89573003944416,1.09552238796826,35.2238374864688,41.2608277149386,29.1868472579989
Alder / maple,80,4.31331034614107,0.984213277267372,29.2273475107228,35.3339334644443,23.1207615570014
Alder / maple,90,7.04438506734671,1.76170454507351,37.0723714482276,45.7218224740166,28.4229204224387
Alder / maple,100,3.04967154397845,2.09187641246556,27.9046458975424,38.4919542277673,17.3173375673175
Alder / maple,110,0.2901,2.60446304058247,17.6382521875103,30.7046876575622,4.57181671745842
Alder / maple,120,7.15997617308587,1.99397182237774,35.2362600625623,47.5953878824581,22.8771322426666
Alder / maple,130,13.7762035985143,2.3742276831681,60.352522616862,74.0858764349802,46.6191687987438
Alder / maple,150,5.58356298095632,2.07212028536341,46.1898939811261,60.0977006681741,32.2820872940781
Alder / maple,170,10.9655609166667,2.35301551533709,62.6809107044171,78.0903063872763,47.2715150215579
Alder / maple,180,5.74328916666667,3.60248343572757,51.0283940396552,70.724808809281,31.3319792700294
Alder / maple,200,8.48498151542887,1.40082894115362,57.7992514181709,72.3817839476079,43.2167188887339
Aspen / birch,0,1.81654416673245,0.686359836512536,5.52584751418213,7.61372396986419,3.43797105850008
Aspen / birch,10,5.16327744399537,0.424314524879547,17.4851251017775,19.4479177630402,15.5223324405147
Aspen / birch,20,6.3384455822528,0.507058128780456,25.3557000296866,27.6985652809259,23.0128347784473
Aspen / birch,30,6.9614226777755,0.488022582371199,31.0128014878183,33.5092660146318,28.5163369610049
Aspen / birch,40,7.36963127925533,0.569718314465092,35.4767985540345,38.3704172542118,32.5831798538572
Aspen / birch,50,6.94723494000712,0.624597976376665,37.0402865343896,40.3128741500323,33.7676989187468
Aspen / birch,60,7.23396645292176,0.59228724100095,39.7811992354938,43.1730433663574,36.3893551046302
Aspen / birch,70,7.65734852363918,0.499261823740193,43.0730187181908,46.3200870767346,39.8259503596471
Aspen / birch,80,8.62094945576456,0.606111460360233,48.141997111077,51.7499044753692,44.5340897467849
Aspen / birch,90,7.99826219821377,0.704952885389812,48.9588205101056,53.0353438710196,44.8822971491916
Aspen / birch,100,8.31520179136342,0.901382670750717,51.4037214940684,56.3021125149413,46.5053304731956
Aspen / birch,110,12.0018712443545,0.986252550408566,64.3626618884189,69.8757376279529,58.8495861488848
Aspen / birch,120,7.07311069374599,1.59953847826244,54.4923945134031,62.2016221155365,46.7831669112698
Aspen / birch,130,7.73886093893442,2.38313307864286,55.1206130509726,66.0626242778565,44.1786018240888
Aspen / birch,140,9.60017030187904,2.91559714849391,61.405549435873,75.2881166944261,47.52298217732
Aspen / birch,150,23.9337275,6.927880831283,107.578664129772,135.060684904154,80.09664335539
Aspen / birch,160,9.93580033333333,5.29324940707382,80.8368944963389,108.260746678064,53.4130423146135
California mixed conifer,0,-5.89382296363636,4.14115529264296,-17.9287504092029,-5.33153802165314,-30.5259627967527
California mixed conifer,10,0.584158926401933,1.90030230928683,-3.9939277236267,5.84150424607886,-13.8293596933323
California mixed conifer,20,2.70671898644342,1.78445946686025,5.50009580504196,15.1116191397587,-4.11142752967473
California mixed conifer,30,9.59591270176673,1.6683525605114,29.7857057229705,39.347845515388,20.2235659305529
California mixed conifer,40,7.49863027249128,0.927228914820866,32.0129785208453,39.6045474417455,24.4214095999451
California mixed conifer,50,9.1704133876036,1.07853210394745,40.2255970829679,47.8810210189011,32.5701731470347
California mixed conifer,60,5.95145297817932,0.873863939947471,34.7425203337172,41.827696260439,27.6573444069953
